model,params,auc,rule,selected_races,selected_rate,avg_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
rf_3,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': None}",0.6252373900797575,top_3pct,399,0.029954954954954954,0.6590766998597619,28243.28320802005,10970.0,464820,0.2606516290726817,0.15789473684210525,0.05012531328320802,0.15789473684210525
rf_3,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': None}",0.6252373900797575,top_5pct,666,0.05,0.6299651663963628,29357.732732732733,10200.0,778840,0.24774774774774774,0.15315315315315314,0.052552552552552555,0.15315315315315314
rf_3,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': None}",0.6252373900797575,top_10pct,1332,0.1,0.5647952129654977,26665.518018018018,8100.0,1240140,0.20270270270270271,0.13288288288288289,0.0518018018018018,0.13288288288288289
rf_3,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': None}",0.6252373900797575,score>=0.35,4282,0.3214714714714715,0.4379780371128937,18061.868285847733,5890.0,1240140,0.14058851004203643,0.08197104156936011,0.02849135917795423,0.08197104156936011
rf_3,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': None}",0.6252373900797575,score>=0.40,1929,0.1448198198198198,0.5188597090025192,22972.239502332814,6950.0,1240140,0.17470191809227578,0.1119751166407465,0.04302747537584241,0.1119751166407465
rf_3,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': None}",0.6252373900797575,score>=0.45,1251,0.09391891891891892,0.5725872024015349,27574.95603517186,8390.0,1240140,0.21023181454836132,0.1366906474820144,0.053557154276578735,0.1366906474820144
rf_3,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': None}",0.6252373900797575,score>=0.50,1006,0.07552552552552552,0.596840287495975,27668.986083499007,9185.0,778840,0.21968190854870775,0.1411530815109344,0.0536779324055666,0.1411530815109344
rf_4,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': None}",0.6189593878819047,ALL,13320,1.0,0.22870175927428993,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
rf_4,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': None}",0.6189593878819047,top_1pct,133,0.009984984984984985,0.6375169877983964,25908.42105263158,11700.0,306680,0.2631578947368421,0.11278195488721804,0.045112781954887216,0.11278195488721804
rf_4,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': None}",0.6189593878819047,top_3pct,399,0.029954954954954954,0.5750535796956814,27933.333333333332,10380.0,464820,0.2681704260651629,0.16290726817042606,0.047619047619047616,0.16290726817042606
