rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_ticket_score,min_ticket_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month_min_roi,month_mean_roi,month_count,plus_months,enough_hits
odds_100_500_race>=0.5_score>=0.4_expected>=3000_top3_by_ticket_score,783,2321,2.9642401021711366,232100,253860,21760,1.0937526928048256,1.0177940542869452,21,0.00904782421370099,0.02681992337164751,0.6062799850730433,0.5001748065414573,0.521764797651787,0.4003719516869313,118.43395088323999,111.5,6155.214112237086,17630,0.06944772709367368,0.35619335347432024,1.0296960242943962,6,2,True
odds_100_1000_race>=0.5_score>=0.4_expected>=3000_top3_by_ticket_score,783,2321,2.9642401021711366,232100,253860,21760,1.0937526928048256,1.0177940542869452,21,0.00904782421370099,0.02681992337164751,0.6062799850730433,0.5001748065414573,0.521764797651787,0.4003719516869313,118.43395088323999,111.5,6155.214112237086,17630,0.06944772709367368,0.35619335347432024,1.0296960242943962,6,2,True
odds_100_500_race>=0.4_score>=0.3_expected>=3000_top2_by_ticket_score,1439,2874,1.9972202918693538,287400,307840,20440,1.0711203897007655,1.009777313848295,27,0.009394572025052192,0.018763029881862403,0.5317839109512287,0.4000830274338122,0.5274234122958347,0.300679816638363,116.81757132915796,109.4,6131.448493764979,17630,0.057270010395010396,0.5370098039215686,1.0519539531080986,6,2,True
odds_100_1000_race>=0.4_score>=0.3_expected>=3000_top2_by_ticket_score,1439,2874,1.9972202918693538,287400,307840,20440,1.0711203897007655,1.009777313848295,27,0.009394572025052192,0.018763029881862403,0.5317839109512287,0.4000830274338122,0.5274234122958347,0.300679816638363,116.81757132915796,109.4,6131.448493764979,17630,0.057270010395010396,0.5370098039215686,1.0519539531080986,6,2,True
odds_100_500_race>=0.4_score>=0.2_expected>=3000_top2_by_ticket_score,1443,2885,1.9993069993069994,288500,307840,19340,1.0670363951473136,1.0059272097053726,27,0.009358752166377816,0.018711018711018712,0.5315279793750128,0.4000830274338122,0.5264475108413079,0.233063358941871,116.9349740034662,109.5,6123.10881793366,17630,0.057270010395010396,0.5370098039215686,1.0459156880605864,6,2,True
odds_100_1000_race>=0.4_score>=0.2_expected>=3000_top2_by_ticket_score,1443,2885,1.9993069993069994,288500,307840,19340,1.0670363951473136,1.0059272097053726,27,0.009358752166377816,0.018711018711018712,0.5315279793750128,0.4000830274338122,0.5264475108413079,0.233063358941871,116.9349740034662,109.5,6123.10881793366,17630,0.057270010395010396,0.5370098039215686,1.0459156880605864,6,2,True
odds_100_500_race>=0.55_score>=0.3_expected>=3000_top5_by_ticket_score,575,2869,4.989565217391305,286900,302750,15850,1.0552457302195888,1.0018821889159986,26,0.009062391077030324,0.04521739130434783,0.6360464713196968,0.5502825174254746,0.5058274943158936,0.300679816638363,122.22579295921923,115.4,6145.725010559946,15310,0.05056977704376548,0.29848101265822785,0.9472041157427676,6,3,True
odds_100_1000_race>=0.55_score>=0.3_expected>=3000_top5_by_ticket_score,575,2869,4.989565217391305,286900,302750,15850,1.0552457302195888,1.0018821889159986,26,0.009062391077030324,0.04521739130434783,0.6360464713196968,0.5502825174254746,0.5058274943158936,0.300679816638363,122.22579295921923,115.4,6145.725010559946,15310,0.05056977704376548,0.29848101265822785,0.9472041157427676,6,3,True
odds_100_500_race>=0.55_score>=0.2_expected>=3000_top5_by_ticket_score,575,2875,5.0,287500,302750,15250,1.0530434782608695,0.999791304347826,26,0.009043478260869564,0.04521739130434783,0.636014344715647,0.5502825174254746,0.5053411806215834,0.235811627034794,122.2919304347826,115.4,6141.461806449765,15310,0.05056977704376548,0.29848101265822785,0.9444362933688056,6,3,True
odds_100_1000_race>=0.55_score>=0.2_expected>=3000_top5_by_ticket_score,575,2875,5.0,287500,302750,15250,1.0530434782608695,0.999791304347826,26,0.009043478260869564,0.04521739130434783,0.636014344715647,0.5502825174254746,0.5053411806215834,0.235811627034794,122.2919304347826,115.4,6141.461806449765,15310,0.05056977704376548,0.29848101265822785,0.9444362933688056,6,3,True
odds_100_500_race>=0.5_score>=0.3_expected>=3000_top3_by_ticket_score,792,2372,2.994949494949495,237200,253860,16660,1.0702360876897132,0.9959106239460371,21,0.00885328836424958,0.026515151515151516,0.6058979158888129,0.5001748065414573,0.5185677542061294,0.300679816638363,118.75784148397977,111.8,6129.837515745577,17630,0.06944772709367368,0.3508928571428571,1.0071074349839375,6,2,True
odds_100_1000_race>=0.5_score>=0.3_expected>=3000_top3_by_ticket_score,792,2372,2.994949494949495,237200,253860,16660,1.0702360876897132,0.9959106239460371,21,0.00885328836424958,0.026515151515151516,0.6058979158888129,0.5001748065414573,0.5185677542061294,0.300679816638363,118.75784148397977,111.8,6129.837515745577,17630,0.06944772709367368,0.3508928571428571,1.0071074349839375,6,2,True
