strategy,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_odds,median_odds,avg_score,max_hit_payout,max_hit_share,day
middle_plus_high_top5,10,37,3.7,3700,0,-3700,0.0,0.0,0,0.0,0.0,149.78648648648647,146.4,0.486830690432845,0,0.0,2026-03-28
middle_plus_high_top5,13,46,3.5384615384615383,4600,0,-4600,0.0,0.0,0,0.0,0.0,149.49565217391307,151.4,0.5028817147645064,0,0.0,2026-03-29
middle_plus_high_top5,12,50,4.166666666666667,5000,0,-5000,0.0,0.0,0,0.0,0.0,152.28199999999998,155.65,0.5013513927700722,0,0.0,2026-03-30
middle_plus_high_top5,10,39,3.9,3900,11240,7340,2.882051282051282,0.0,1,0.02564102564102564,0.1,156.14615384615385,166.9,0.5081876983811835,11240,1.0,2026-03-31
middle_plus_high_top5,4,4,1.0,400,0,-400,0.0,0.0,0,0.0,0.0,30.400000000000002,30.450000000000003,0.9086814658421842,0,0.0,2026-04-01
middle_plus_high_top5,18,60,3.3333333333333335,6000,11630,5630,1.9383333333333332,0.0,1,0.016666666666666666,0.05555555555555555,133.62666666666667,135.5,0.5324283412897339,11630,1.0,2026-04-02
middle_plus_high_top5,9,27,3.0,2700,0,-2700,0.0,0.0,0,0.0,0.0,116.80740740740741,119.3,0.534130901919679,0,0.0,2026-04-03
middle_plus_high_top5,8,34,4.25,3400,0,-3400,0.0,0.0,0,0.0,0.0,159.93823529411767,166.15,0.4714182284725305,0,0.0,2026-04-04
middle_plus_high_top5,9,35,3.888888888888889,3500,0,-3500,0.0,0.0,0,0.0,0.0,146.96571428571428,159.2,0.5316029494457727,0,0.0,2026-04-05
middle_plus_high_top5,7,8,1.1428571428571428,800,0,-800,0.0,0.0,0,0.0,0.0,30.325000000000003,30.35,0.9111109287486665,0,0.0,2026-04-06
middle_plus_high_top5,2,2,1.0,200,0,-200,0.0,0.0,0,0.0,0.0,30.35,30.35,0.9019703167025364,0,0.0,2026-04-07
middle_plus_high_top5,5,5,1.0,500,0,-500,0.0,0.0,0,0.0,0.0,30.26,30.1,0.9096138507030448,0,0.0,2026-04-08
middle_plus_high_top5,18,66,3.6666666666666665,6600,14120,7520,2.139393939393939,0.0,1,0.015151515151515152,0.05555555555555555,146.71060606060607,149.3,0.5062952593872054,14120,1.0,2026-04-09
middle_plus_high_top5,9,34,3.7777777777777777,3400,0,-3400,0.0,0.0,0,0.0,0.0,146.05882352941177,153.45,0.5374737346088753,0,0.0,2026-04-10
middle_plus_high_top5,10,42,4.2,4200,0,-4200,0.0,0.0,0,0.0,0.0,171.29285714285714,187.35,0.47366502507039404,0,0.0,2026-04-11
middle_plus_high_top5,12,44,3.6666666666666665,4400,0,-4400,0.0,0.0,0,0.0,0.0,159.225,168.15,0.5020931956352942,0,0.0,2026-04-12
middle_plus_high_top5,1,1,1.0,100,0,-100,0.0,0.0,0,0.0,0.0,30.3,30.3,0.9035326471750584,0,0.0,2026-04-13
middle_plus_high_top5,11,15,1.3636363636363635,1500,0,-1500,0.0,0.0,0,0.0,0.0,71.53333333333333,30.4,0.7555899956464613,0,0.0,2026-04-14
middle_plus_high_top5,8,8,1.0,800,3070,2270,3.8375,0.0,1,0.125,0.125,30.299999999999997,30.3,0.9082028382770544,3070,1.0,2026-04-15
middle_plus_high_top5,6,10,1.6666666666666667,1000,3010,2010,3.01,0.0,1,0.1,0.16666666666666666,92.72999999999999,79.25,0.6812770858680075,3010,1.0,2026-04-16
middle_plus_high_top5,8,9,1.125,900,0,-900,0.0,0.0,0,0.0,0.0,30.27777777777778,30.2,0.9086034035704582,0,0.0,2026-04-17
middle_plus_high_top5,10,42,4.2,4200,0,-4200,0.0,0.0,0,0.0,0.0,151.90952380952382,154.85000000000002,0.4560277561668016,0,0.0,2026-04-18
middle_plus_high_top5,15,47,3.1333333333333333,4700,0,-4700,0.0,0.0,0,0.0,0.0,138.4255319148936,143.8,0.5088289596533121,0,0.0,2026-04-19
middle_plus_high_top5,13,54,4.153846153846154,5400,18110,12710,3.3537037037037036,0.5611111111111111,2,0.037037037037037035,0.15384615384615385,147.58888888888887,150.15,0.4872827962601313,15080,0.8326891220320265,2026-04-20
middle_plus_high_top5,11,47,4.2727272727272725,4700,0,-4700,0.0,0.0,0,0.0,0.0,150.19574468085105,150.8,0.4810748902192218,0,0.0,2026-04-21
middle_plus_high_top5,4,5,1.25,500,3060,2560,6.12,0.0,1,0.2,0.25,30.340000000000003,30.4,0.9086247638224085,3060,1.0,2026-04-22
middle_plus_high_top5,11,40,3.6363636363636362,4000,0,-4000,0.0,0.0,0,0.0,0.0,157.855,174.5,0.49729205642143803,0,0.0,2026-04-23
middle_plus_high_top5,16,57,3.5625,5700,19920,14220,3.4947368421052634,0.0,1,0.017543859649122806,0.0625,151.3421052631579,160.9,0.498352397700771,19920,1.0,2026-04-24
middle_plus_high_top5,19,65,3.4210526315789473,6500,3060,-3440,0.4707692307692308,0.0,1,0.015384615384615385,0.05263157894736842,165.22153846153844,163.8,0.49421964621286363,3060,1.0,2026-04-25
middle_plus_high_top5,12,51,4.25,5100,17250,12150,3.3823529411764706,0.0,1,0.0196078431372549,0.08333333333333333,167.5529411764706,175.3,0.4712112369363855,17250,1.0,2026-04-26
middle_plus_high_top5,10,10,1.0,1000,0,-1000,0.0,0.0,0,0.0,0.0,30.370000000000005,30.35,0.9084044521078735,0,0.0,2026-04-27
middle_plus_high_top5,4,4,1.0,400,0,-400,0.0,0.0,0,0.0,0.0,30.6,30.65,0.9072648706816757,0,0.0,2026-04-28
middle_plus_high_top5,10,10,1.0,1000,0,-1000,0.0,0.0,0,0.0,0.0,30.419999999999998,30.45,0.905571535651281,0,0.0,2026-04-29
middle_plus_high_top5,7,7,1.0,700,0,-700,0.0,0.0,0,0.0,0.0,30.32857142857143,30.3,0.9076303154560037,0,0.0,2026-04-30
middle_plus_high_top5,15,58,3.8666666666666667,5800,0,-5800,0.0,0.0,0,0.0,0.0,135.3862068965517,138.89999999999998,0.5040716703231647,0,0.0,2026-05-01
middle_plus_high_top5,18,67,3.7222222222222223,6700,0,-6700,0.0,0.0,0,0.0,0.0,142.29253731343286,147.9,0.49877052186737464,0,0.0,2026-05-02
