rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_direct_expected_return,avg_hit_payout,max_hit_payout,max_hit_share
odds_30plus_expected>=150_top2,13312,26622,1.9998497596153846,2662200,11267640,8605440,4.232454361054767,4.084576665915408,91,0.0034182255277589962,0.0068359375,0.12282193208349482,0.0004439615574002,1837.2100555931183,1543.25,16002.447852331035,123820.21978021978,393680,0.03493899343607002
odds_10plus_expected>=300_top2,13316,26624,1.99939921898468,2662400,11267640,8605240,4.2321364182692305,4.0842698317307695,91,0.00341796875,0.0068338840492640435,0.12294279623066331,0.0046232099168636,1836.7296349158653,1543.05,16001.445678476575,123820.21978021978,393680,0.03493899343607002
odds_30plus_expected>=100_top2,13314,26624,1.9996995643683342,2662400,11267640,8605240,4.2321364182692305,4.0842698317307695,91,0.00341796875,0.006834910620399579,0.1228141385894495,0.0004439615574002,1837.1421987680287,1543.25,16001.25437920464,123820.21978021978,393680,0.03493899343607002
odds_50plus_expected>=80_top2,13313,26624,1.9998497709006235,2662400,11267640,8605240,4.2321364182692305,4.0842698317307695,91,0.00341796875,0.00683542402163299,0.12278053476764793,0.0003993368521374,1837.3991210937502,1543.3,16001.20623679923,123820.21978021978,393680,0.03493899343607002
odds_all_expected>=300_top2,13317,26626,1.9993992640985208,2662600,11267640,8605040,4.231818523247953,4.083963043641553,91,0.003417712010816495,0.006833370879327175,0.12298402510114025,0.0046232099168636,1836.592139262375,1542.95,16000.2732381731,123820.21978021978,393680,0.03493899343607002
odds_10plus_expected>=200_top2,13319,26629,1.9993242735941137,2662900,11267640,8604740,4.231341770250479,4.083502947913928,91,0.003417326974351271,0.006832344770628425,0.12293111374026117,0.0008150196338287,1836.4987419730369,1542.9,15998.483701659057,123820.21978021978,393680,0.03493899343607002
odds_30plus_expected>=80_top2,13316,26629,1.999774707119255,2662900,11267640,8604740,4.231341770250479,4.083502947913928,91,0.003417326974351271,0.0068338840492640435,0.12279286650103428,0.0003993368521374,1836.9963949078074,1543.2,15998.266856052242,123820.21978021978,393680,0.03493899343607002
odds_all_expected>=200_top2,13319,26630,1.9993993543058788,2663000,11267640,8604640,4.231182876455126,4.083349605707848,91,0.003417198648141194,0.006832344770628425,0.12297446205012372,0.0008150196338287,1836.4287758167482,1542.85,15997.902662397948,123820.21978021978,393680,0.03493899343607002
odds_50plus_expected>=50_top2,13317,26631,1.9997747240369452,2663100,11267640,8604540,4.231023994592768,4.083196275017836,91,0.0034170703315684727,0.006833370879327175,0.1227487177488046,0.0001154516203323,1837.490807705306,1543.3,15997.017603122018,123820.21978021978,393680,0.03493899343607002
odds_all_expected>=150_top2,13319,26632,1.9995495157294092,2663200,11267640,8604440,4.230865124662061,4.083042955842595,91,0.0034169420246320218,0.006832344770628425,0.12296612896581458,0.0004439615574002,1836.4258298287775,1542.85,15996.713921170809,123820.21978021978,393680,0.03493899343607002
odds_10plus_expected>=150_top2,13319,26632,1.9995495157294092,2663200,11267640,8604440,4.230865124662061,4.083042955842595,91,0.0034169420246320218,0.006832344770628425,0.1229181926660471,0.0004439615574002,1836.5258185641333,1542.95,15996.700696801918,123820.21978021978,393680,0.03493899343607002
odds_all_expected>=100_top2,13319,26633,1.9996245964411743,2663300,11267640,8604340,4.23070626666166,4.082889648180828,91,0.003416813727330755,0.006832344770628425,0.12296153564895415,0.0004439615574002,1836.4258701610781,1542.9,15996.1176486918,123820.21978021978,393680,0.03493899343607002
odds_10plus_expected>=100_top2,13319,26633,1.9996245964411743,2663300,11267640,8604340,4.23070626666166,4.082889648180828,91,0.003416813727330755,0.006832344770628425,0.12291360114907023,0.0004439615574002,1836.5258551421166,1543.0,15996.104424819448,123820.21978021978,393680,0.03493899343607002
odds_all_expected>=80_top2,13320,26636,1.9996996996996996,2663600,11267640,8604040,4.230229764228863,4.082429794263403,91,0.0034164288932272114,0.006831831831831832,0.12294943251661981,0.0004439615574002,1836.2889585523353,1542.85,15994.326196683622,123820.21978021978,393680,0.03493899343607002
odds_10plus_expected>=80_top2,13320,26636,1.9996996996996996,2663600,11267640,8604040,4.230229764228863,4.082429794263403,91,0.0034164288932272114,0.006831831831831832,0.12290150341557582,0.0004439615574002,1836.3889322721127,1542.95,15994.312974300668,123820.21978021978,393680,0.03493899343607002
odds_30plus_expected>=50_top2,13322,26637,1.9994745533703648,2663700,11267640,8603940,4.230070953936254,4.082276532642565,91,0.003416300634455832,0.006830806185257469,0.12275750297273494,0.0001154516203323,1836.984052258137,1543.2,15993.48064047097,123820.21978021978,393680,0.03493899343607002
odds_all_expected>=50_top2,13324,26643,1.9996247373161213,2664300,11267640,8603340,4.229118342528994,4.08135720451901,91,0.003415531284014563,0.006829780846592615,0.12291828119896235,0.0001154516203323,1836.343737567091,1542.8,15990.140610543844,123820.21978021978,393680,0.03493899343607002
odds_10plus_expected>=50_top2,13324,26643,1.9996247373161213,2664300,11267640,8603340,4.229118342528994,4.08135720451901,91,0.003415531284014563,0.006829780846592615,0.1228703646904833,0.0001154516203323,1836.4436850204554,1542.9,15990.127391634847,123820.21978021978,393680,0.03493899343607002
