rule,race_id,combination,race_date,odds,estimated_payout,is_hit,hit_payout,hit_popularity,return_yen,direct_ticket_score,direct_expected_return,direct_ticket_rank,direct_expected_rank,race_score,month,day,expected_return
high_odds_v1_top2,1120260514040011,1-2-7,2026-05-17,128.1,12810,0,1630.0,2.0,0.0,0.601039184727613,7699.311956360722,23,205,0.5953435953972336,2026-05,2026-05-17,7699.311956360722
high_odds_v1_top2,1120260514040011,8-2-7,2026-05-17,129.9,12990,0,1630.0,2.0,0.0,0.5756599683346382,7477.82298866695,24,222,0.5953435953972336,2026-05,2026-05-17,7477.822988666951
high_odds_v1_top2,1120260514040012,5-7-9,2026-05-17,100.6,10060,0,1110.0,1.0,0.0,0.604088241073348,6077.127705197881,24,229,0.709521564419248,2026-05,2026-05-17,6077.1277051978805
high_odds_v1_top2,1120260514040012,5-3-4,2026-05-17,110.3,11030,0,1110.0,1.0,0.0,0.5741212358647818,6332.557231588544,26,216,0.709521564419248,2026-05,2026-05-17,6332.557231588543
high_odds_v1_top2,1320260103020002,7-4-6,2026-01-04,105.4,10540,0,3590.0,10.0,0.0,0.6204436210448887,6539.475765813127,28,133,0.4648040974064052,2026-01,2026-01-04,6539.475765813127
high_odds_v1_top2,1320260103020002,2-7-5,2026-01-04,109.0,10900,0,3590.0,10.0,0.0,0.54186488418271,5906.3272375915385,36,158,0.4648040974064052,2026-01,2026-01-04,5906.3272375915385
high_odds_v1_top2,1320260122010001,3-9-7,2026-01-22,108.2,10820,0,137490.0,255.0,0.0,0.5130782072786246,5551.506202754718,22,312,0.6095561634269334,2026-01,2026-01-22,5551.506202754719
high_odds_v1_top2,1320260122010001,9-3-5,2026-01-22,114.8,11480,0,137490.0,255.0,0.0,0.5127469130503918,5886.334561818498,23,291,0.6095561634269334,2026-01,2026-01-22,5886.334561818498
high_odds_v1_top2,1320260122010002,7-1-5,2026-01-22,103.9,10390,0,22150.0,88.0,0.0,0.5295149213306332,5501.660032625278,29,314,0.4633919712114118,2026-01,2026-01-22,5501.660032625278
high_odds_v1_top2,1320260122010002,7-3-9,2026-01-22,122.0,12200,0,22150.0,88.0,0.0,0.5274274576156727,6434.614982911206,30,263,0.4633919712114118,2026-01,2026-01-22,6434.614982911206
high_odds_v1_top2,1320260122010003,5-3-1,2026-01-22,114.9,11490,0,20580.0,61.0,0.0,0.5361081386663596,6159.882513276472,27,302,0.5704320340956051,2026-01,2026-01-22,6159.882513276472
high_odds_v1_top2,1320260122010003,5-3-9,2026-01-22,122.3,12230,0,20580.0,61.0,0.0,0.5311295375815932,6495.7142446228845,29,287,0.5704320340956051,2026-01,2026-01-22,6495.7142446228845
