rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,day
high_odds_v1_top2,11,22,2.0,2200,0,-2200,0.0,0.0,0,0.0,0.0,0.6137283015562839,0.4681146715051649,0.5191725378146583,0.4357761892506626,122.96363636363635,109.85,6333.7162582317405,0,0.0,2026-06-17
high_odds_v1_top2,11,22,2.0,2200,0,-2200,0.0,0.0,0,0.0,0.0,0.6351234627473904,0.5378046104774766,0.532192016190819,0.454797981790291,114.58181818181816,107.0,6083.149099433791,0,0.0,2026-06-18
high_odds_v1_top2,12,24,2.0,2400,0,-2400,0.0,0.0,0,0.0,0.0,0.649740147940204,0.4635713559456574,0.520375902654208,0.417252088546443,110.18333333333332,106.8,5730.719830252456,0,0.0,2026-06-19
high_odds_v1_top2,12,24,2.0,2400,0,-2400,0.0,0.0,0,0.0,0.0,0.6699948773303782,0.5911967584454921,0.516228908561973,0.4464422898706145,113.89166666666667,106.1,5866.676022462368,0,0.0,2026-06-20
high_odds_v1_top2,12,24,2.0,2400,0,-2400,0.0,0.0,0,0.0,0.0,0.6620944796555006,0.5774329807279739,0.5250436651486634,0.4737472959299619,121.075,108.30000000000001,6343.801288825732,0,0.0,2026-06-21
high_odds_v1_top2,2,4,2.0,400,0,-400,0.0,0.0,0,0.0,0.0,0.45694984740235634,0.456846809718599,0.5056143607051939,0.4551687630163351,114.75,114.69999999999999,5791.445467007442,0,0.0,2026-06-23
high_odds_v1_top5,1,5,5.0,500,0,-500,0.0,0.0,0,0.0,0.0,0.49089239381263294,0.4908923938126329,0.46288549278042146,0.4150791419114799,221.94,223.7,10217.085032829893,0,0.0,2026-01-01
high_odds_v1_top5,8,38,4.75,3800,0,-3800,0.0,0.0,0,0.0,0.0,0.5361206435572605,0.4602117987311964,0.45405622026097636,0.403400950765739,150.51842105263154,138.3,6699.866677105847,0,0.0,2026-01-04
high_odds_v1_top5,2,10,5.0,1000,18720,17720,18.72,0.0,1,0.1,0.5,0.483484746247494,0.4725913507187299,0.46710559167459403,0.4174002918471924,190.09,191.64999999999998,8857.134541689846,18720,1.0,2026-01-05
high_odds_v1_top5,10,50,5.0,5000,0,-5000,0.0,0.0,0,0.0,0.0,0.548328186130574,0.4517956408904393,0.4424924282379284,0.4000902383972077,173.84,167.4,7628.455667020213,0,0.0,2026-01-06
high_odds_v1_top5,10,50,5.0,5000,0,-5000,0.0,0.0,0,0.0,0.0,0.5293870797404068,0.4649109712556401,0.4388969836157803,0.4005401721445379,176.06600000000003,167.0,7674.5274790788935,0,0.0,2026-01-07
high_odds_v1_top5,1,5,5.0,500,0,-500,0.0,0.0,0,0.0,0.0,0.4531063809712437,0.4531063809712437,0.48483047607737734,0.4213212986904878,230.54000000000002,195.3,10902.902766600982,0,0.0,2026-01-08
high_odds_v1_top5,9,45,5.0,4500,0,-4500,0.0,0.0,0,0.0,0.0,0.5400007674217302,0.4669261167363928,0.47673563957212367,0.4006378722904051,155.84666666666666,143.5,7284.520978842743,0,0.0,2026-01-09
high_odds_v1_top5,6,30,5.0,3000,0,-3000,0.0,0.0,0,0.0,0.0,0.4987332791561438,0.4562620111588089,0.4645399304302867,0.4042651983846974,151.58333333333334,141.25,6931.4712660134055,0,0.0,2026-01-10
high_odds_v1_top5,7,31,4.428571428571429,3100,0,-3100,0.0,0.0,0,0.0,0.0,0.5519354359347189,0.4585044760715211,0.4718190958597416,0.4020103843460861,165.7451612903226,167.7,7713.249209959806,0,0.0,2026-01-11
