rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month_min_roi,month_mean_roi,month_count,plus_months,enough_hits
odds_300_3000_race>=0.4_score>=0.2_expected>=10000_top10_by_direct_expected_return,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.24914187946994026,0.2000400479025765,813.790222222222,665.0,19611.085239531672,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_300_3000_race>=0.45_score>=0.2_expected>=10000_top10_by_direct_ticket_score,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.25690718141214985,0.2000400479025765,727.6275555555555,516.6,18062.91391818032,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_300_3000_race>=0.45_score>=0.2_expected>=10000_top10_by_direct_expected_return,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.24914187946994026,0.2000400479025765,813.790222222222,665.0,19611.085239531672,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_300_3000_race>=0.5_score>=0.2_expected>=10000_top10_by_direct_ticket_score,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.25690718141214985,0.2000400479025765,727.6275555555555,516.6,18062.91391818032,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_300_3000_race>=0.5_score>=0.2_expected>=10000_top10_by_direct_expected_return,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.24914187946994026,0.2000400479025765,813.790222222222,665.0,19611.085239531672,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_300_3000_race>=0.55_score>=0.2_expected>=10000_top10_by_direct_ticket_score,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.25690718141214985,0.2000400479025765,727.6275555555555,516.6,18062.91391818032,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_300_3000_race>=0.55_score>=0.2_expected>=10000_top10_by_direct_expected_return,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.24914187946994026,0.2000400479025765,813.790222222222,665.0,19611.085239531672,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_300_3000_race>=0.6_score>=0.2_expected>=10000_top10_by_direct_ticket_score,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.25690718141214985,0.2000400479025765,727.6275555555555,516.6,18062.91391818032,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_300_3000_race>=0.6_score>=0.2_expected>=10000_top10_by_direct_expected_return,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.24914187946994026,0.2000400479025765,813.790222222222,665.0,19611.085239531672,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_200_2000_race>=0.3_score>=0.2_expected>=10000_top10_by_direct_ticket_score,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.26576011709073327,0.2000400479025765,689.2875,497.9,17380.296173361607,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_200_2000_race>=0.3_score>=0.2_expected>=10000_top10_by_direct_expected_return,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.2567346622047802,0.2000400479025765,777.3396306818181,576.2,18951.04336849321,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_200_2000_race>=0.4_score>=0.2_expected>=10000_top10_by_direct_ticket_score,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.26576011709073327,0.2000400479025765,689.2875,497.9,17380.296173361607,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
