model,target,auc,rule,selected_races,selected_rate,avg_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
hist_gradient_boosting,is_over_50,0.6206958409142361,score>=0.30,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
hist_gradient_boosting,is_over_50,0.6206958409142361,score>=0.40,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
hist_gradient_boosting,is_over_50,0.6206958409142361,score>=0.50,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
hist_gradient_boosting,is_over_50,0.6206958409142361,score>=0.60,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
lightgbm,is_over_50,0.6073557302897492,ALL,13320,1.0,0.3322928427115649,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
lightgbm,is_over_50,0.6073557302897492,top_1pct,133,0.009984984984984985,0.7687061346183536,27951.052631578947,12270.0,276510,0.2556390977443609,0.16541353383458646,0.06015037593984962,0.16541353383458646
lightgbm,is_over_50,0.6073557302897492,top_3pct,399,0.029954954954954954,0.7245643865530808,26481.503759398496,10470.0,332500,0.23809523809523808,0.14035087719298245,0.05513784461152882,0.14035087719298245
lightgbm,is_over_50,0.6073557302897492,top_5pct,666,0.05,0.6912297954976798,27591.35135135135,10050.0,704460,0.22672672672672672,0.14564564564564564,0.057057057057057055,0.14564564564564564
lightgbm,is_over_50,0.6073557302897492,top_10pct,1332,0.1,0.6265880574247622,24283.1981981982,7885.0,1240140,0.19369369369369369,0.12012012012012012,0.04354354354354354,0.12012012012012012
lightgbm,is_over_50,0.6073557302897492,top_20pct,2664,0.2,0.5600015976102886,19637.225975975976,5940.0,1240140,0.15202702702702703,0.09046546546546547,0.03228228228228228,0.09046546546546547
lightgbm,is_over_50,0.6073557302897492,score>=0.30,7732,0.5804804804804805,0.4421869151859216,15574.558975685462,4880.0,1240140,0.11627004655975168,0.06828763579927574,0.024185204345576822,0.06828763579927574
lightgbm,is_over_50,0.6073557302897492,score>=0.40,4525,0.3397147147147147,0.506799883402123,17505.133701657458,5410.0,1240140,0.13458563535911602,0.07955801104972375,0.02850828729281768,0.07955801104972375
lightgbm,is_over_50,0.6073557302897492,score>=0.50,1849,0.1388138138138138,0.5950897343844683,21421.33044889129,6760.0,1240140,0.17090319091400757,0.1032990805840995,0.035154137371552194,0.1032990805840995
