rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month
odds_30_500_score>=0.5_expected>=0_top1_by_direct_expected_return,1977,1977,1.0,197700,156260,-41440,0.7903894790085989,0.7012139605462823,14,0.0070814365199797676,0.0070814365199797676,0.5705495643670597,0.5001160253284607,112.32559433485079,106.6,6306.527212302912,17630,0.1128247792141303,2026-06
odds_30_500_score>=0.5_expected>=0_top2_by_direct_expected_return,2305,4610,2.0,461000,439390,-21610,0.9531236442516269,0.9093275488069414,43,0.009327548806941432,0.018655097613882864,0.5807488494949308,0.5000002401310523,104.84694143167029,99.0,5993.760409652698,20190,0.04595006713853297,2026-01
odds_30_500_score>=0.5_expected>=0_top2_by_direct_expected_return,2128,4255,1.9995300751879699,425500,333870,-91630,0.7846533490011751,0.7498002350176263,34,0.007990599294947122,0.015977443609022556,0.5770706130700131,0.5000217591684042,106.57257344300824,101.7,6053.32504275609,14830,0.044418486237158175,2026-02
odds_30_500_score>=0.5_expected>=0_top2_by_direct_expected_return,2256,4510,1.999113475177305,451000,473630,22630,1.0501773835920178,1.012549889135255,48,0.010643015521064302,0.02127659574468085,0.579015039384925,0.5000570527171574,106.17556541019954,100.3,6046.938326062069,16970,0.03582965606063805,2026-03
odds_30_500_score>=0.5_expected>=0_top2_by_direct_expected_return,2333,4665,1.9995713673381912,466500,473030,6530,1.0139978563772776,0.9784994640943194,46,0.009860664523043945,0.019717102443206173,0.5798477777180875,0.5000000026788737,105.69717041800642,99.1,6029.699738628303,16560,0.03500835042174915,2026-04
odds_30_500_score>=0.5_expected>=0_top2_by_direct_expected_return,2306,4612,2.0,461200,406890,-54310,0.8822419774501301,0.8498265394622724,40,0.008673026886383347,0.017346053772766695,0.581221155517271,0.5000183266391405,105.28855160450998,98.7,6019.2707544320565,14950,0.036742117034087834,2026-05
odds_30_500_score>=0.5_expected>=0_top2_by_direct_expected_return,1977,3954,2.0,395400,294180,-101220,0.7440060698027314,0.6994183105715731,27,0.006828528072837633,0.013657056145675266,0.5784085411180503,0.5000971022694773,106.19557410217502,99.1,6042.097257929027,17630,0.059929294989462235,2026-06
odds_30_500_score>=0.5_expected>=0_top3_by_direct_expected_return,2305,6913,2.999132321041215,691300,624090,-67210,0.9027773759583394,0.873571531896427,63,0.009113264863301027,0.027331887201735357,0.5858383504302145,0.5000002401310523,100.76249095906265,96.8,5808.623201546483,20190,0.03235110320626833,2026-01
odds_30_500_score>=0.5_expected>=0_top3_by_direct_expected_return,2128,6381,2.99859022556391,638100,615760,-22340,0.9649898135088544,0.9417489421720734,66,0.010343206393982134,0.03101503759398496,0.58322904679917,0.5000217591684042,102.33942955649584,98.1,5870.504941061966,14830,0.02408405872417825,2026-02
odds_30_500_score>=0.5_expected>=0_top3_by_direct_expected_return,2256,6763,2.9977836879432624,676300,645610,-30690,0.9546207304450688,0.9295283158361674,67,0.009906846074227415,0.02969858156028369,0.5844143655131717,0.5000570527171574,101.93026763270737,97.4,5854.955684396281,16970,0.026285218630442527,2026-03
