race_id,entry_count,result_count,diff
2120231019010004,9,7,-2
2120231019010011,9,8,-1
2120231019020005,9,8,-1
2120231019030004,9,8,-1
2120231113010004,7,6,-1
2120231113020007,7,6,-1
2120231113020011,7,6,-1
2120240413010001,7,6,-1
2120240413010009,7,3,-4
2120240413020001,7,6,-1
2120240425010007,7,6,-1
2120240425010011,7,4,-3
2120240425020010,7,4,-3
2120240425030008,6,5,-1
2120240513030011,7,6,-1
2120240614020010,7,4,-3
2120240614020012,7,6,-1
2120240619020003,7,5,-2
2120240619020007,7,6,-1
2120240619030003,7,6,-1
2120240619030007,7,6,-1
2120240625010005,7,6,-1
2120240707010005,7,6,-1
2120240721010006,7,4,-3
2120240721020005,7,6,-1
2120240729010006,6,4,-2
2120240729020005,7,6,-1
2120240729030002,7,5,-2
2120240824020002,7,6,-1
2120240923010009,7,5,-2
2120240923010011,7,6,-1
2120240929030002,6,5,-1
2120241017010009,9,8,-1
2120241017010010,9,8,-1
2120241017020003,9,8,-1
2120241017020011,9,6,-3
2120241017030007,9,7,-2
2120241030010005,7,6,-1
2120241030020007,7,6,-1
2120241105020010,7,6,-1
2120241105030012,7,6,-1
2120250425010006,7,5,-2
2120250501030005,7,6,-1
2120250520020012,7,5,-2
2120250527020009,7,5,-2
2120250527020011,7,6,-1
2120250610020009,7,6,-1
2120250610030003,7,6,-1
2120250618020003,7,5,-2
2120250618030003,7,6,-1
2120250710010006,9,8,-1
2120250710030001,8,5,-3
2120250710030003,9,8,-1
2120250801030004,7,6,-1
2120250801030010,7,6,-1
2120250903010004,7,5,-2
2120250903010008,7,6,-1
2120250903020005,7,6,-1
2120250927010004,7,6,-1
2120250927020006,7,6,-1
2120250927030005,7,6,-1
2120251006010010,7,5,-2
2120251006030012,7,5,-2
2120251020010003,7,6,-1
2120251109020001,7,6,-1
2120260422030003,7,4,-3
2120260504020008,7,6,-1
2120260504030003,7,6,-1
2120260527010010,7,5,-2
2120260527030011,7,6,-1
2120260604020005,7,6,-1
2120260604020008,7,5,-2
2120260604020012,7,6,-1
2120260612020008,7,6,-1
2120260622010001,7,6,-1
2120260622020008,7,0,-7
2220230114010002,7,5,-2
2220230128030007,7,6,-1
2220230201010009,7,6,-1
2220230201020004,7,6,-1
2220230201020007,7,3,-4
2220230201030003,7,6,-1
2220230210010010,7,6,-1
2220230210020011,7,6,-1
2220230210030002,7,5,-2
2220230210030008,7,6,-1
2220230210030012,7,6,-1
2220230215010001,7,6,-1
2220230215010002,7,5,-2
2220230224020002,7,5,-2
2220230224020003,7,6,-1
2220230224020004,7,6,-1
2220230224020009,7,4,-3
2220230224030005,6,4,-2
2220230302010003,7,6,-1
2220230302020007,7,5,-2
2220230319020004,7,5,-2
2220230319020005,7,6,-1
2220230329010008,7,6,-1
2220230329020002,7,5,-2
2220230404020005,7,5,-2
2220230419020006,7,5,-2
2220230419020008,7,6,-1
2220230419030005,7,5,-2
2220230504020002,7,6,-1
2220230504030005,7,6,-1
2220230511010003,7,4,-3
