race_id,combination,payout,popularity,result_top3,top3_match
5520230810040006,7-4-1,6580,20,5-3-8,False
5520230810040007,8-9-4,402630,405,7-4-1,False
5520230810040008,5-1-3,2230,5,8-9-4,False
5520230810040009,4-5-9,22840,92,5-1-3,False
5520230810040010,2-9-8,11180,22,4-5-9,False
5520230810040011,4-5-9,15380,36,2-9-8,False
5520230929030010,5-7-2,5160,25,5-7-2-6,False
5520240404020002,2-7-4,2840,6,3-6,False
5520240404020003,5-4-2,3420,9,2-7-4,False
5520240404020004,5-1-7,4150,10,5-4-2,False
5520240404020005,7-5-4,44550,95,5-1-7,False
5520240404020006,5-1-3,2750,9,7-5-4,False
5520240404020007,6-2-5,13030,39,5-1-3,False
5520240404020008,4-7-1,35440,70,6-2-5,False
5520240404020009,1-6-3,38520,78,4-7-1,False
5520240404020010,1-5-3,47030,95,1-6-3,False
5520240404020011,4-5-1,390,1,1-5-3,False
5520240727030004,7-5-2,20330,99,7-5-2-4,False
5520260312020001,5-1-4,630,1,,False
5520260312020002,5-1-7,7190,15,5-1-4,False
5520260312020003,4-2-7,71150,111,5-1-7,False
5520260312020004,2-5-7,3390,10,4-2-7,False
5520260312020005,3-7-2,380,1,2-5-7,False
5520260312020006,3-4-1,1220,5,3-7-2,False
5620230214030010,3-4-2,520,2,3-4-2-5,False
5620230505030004,7-6-1,49580,109,7-6-1-4,False
5620230613010007,9-1-2,111710,172,9-1-2-4,False
5620230613050011,1-7-3,1090,3,1-7-3-5,False
5620230807020006,2-5-3,490,1,,False
5620230807020007,2-7-4,1270,3,2-5-3,False
5620230807020008,2-5-3,8930,28,2-7-4,False
5620230807020009,1-5-6,3930,14,2-5-3,False
5620230807020010,1-5-7,50580,134,1-5-6,False
5620230807020011,7-2-1,2370,5,1-5-7,False
5620240205020002,2-1-4,1060,9,2-1-4-5,False
5620250617020004,5-1-4,4010,25,5-1-4-6,False
5620250827010011,1-4-2,125560,140,1-4-2-6,False
5620250827030006,2-4-1,1440,6,2-4-1-3,False
5620250905020004,2-5-1,550,2,2-5-1-4,False
5620251024020003,4-3-2,1380,8,4-3-2-5,False
5620260224020003,1-3-2,6660,16,,False
5620260224020004,1-3-7,23820,44,1-3-2,False
5620260224020005,7-1-5,1780,6,1-3-7,False
5620260224020006,5-7-2,32940,33,7-1-5,False
5620260224020007,7-1-4,2430,6,5-7-2,False
5620260224020008,1-3-5,15470,49,7-1-4,False
5620260224020009,2-1-5,110190,139,1-3-5,False
5620260224020010,3-4-1,5710,22,2-1-5,False
5620260224020011,3-2-7,15420,42,3-4-1,False
6120230726030002,4-1-2,5800,45,4-1-2-5,False
6120231118020006,2-4-3,5370,43,2-4-3-5,False
6120231204020010,7-5-3,6130,36,7-5-3-4,False
6120240519010010,5-3-4,3520,18,5-3-4-6,False
6120241230010006,2-3-1,870,3,2-3-1-4,False
6120250205030001,6-2-5,3670,11,,False
6120250205030002,1-4-2,1150,1,,False
6120250205030003,4-1-6,780,1,,False
6120250205030004,1-3-6,4290,15,,False
6120250205030005,2-1-3,4030,12,6-2-5,False
6120250306010003,9-7-1,4600,29,9-7-1-8,False
6120250314020005,3-5-2,2260,9,,False
6120250314020006,4-1-6,480,3,3-5-2,False
6120250314020007,1-7-3,7060,31,4-1-6,False
6120250314020008,1-4-5,220,1,1-7-3,False
6120250314020009,7-1-4,2310,5,1-4-5,False
6120250314020010,2-1-4,27010,43,7-1-4,False
6120250314020011,4-1-2,500,2,2-1-4,False
6120250909020002,3-5-1,220,1,3-5-1-2,False
6120250909020008,1-5-2,1450,4,,False
