rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_ticket_score,min_ticket_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top10_by_ticket_score,7,7,1.0,700,0,-700,0.0,0.0,0,0.0,0.0,0.6844584477152311,0.6197324072967954,0.6249174803805538,0.604088241073348,109.39999999999999,105.2,6844.751150237534,0,0.0,2026-05
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top10_by_ticket_score,6,8,1.3333333333333333,800,0,-800,0.0,0.0,0,0.0,0.0,0.6579007320056736,0.6021515138101267,0.6132169197068686,0.6076030197627857,103.82500000000002,100.85,6366.69079277588,0,0.0,2026-06
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top1_by_expected_return,6,6,1.0,600,10150,9550,16.916666666666668,0.0,1,0.16666666666666666,0.16666666666666666,0.6407981483797919,0.6008296139959429,0.632606106826238,0.6064426264764826,117.09999999999998,112.4,7426.825718282296,10150,1.0,2026-01
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top1_by_expected_return,6,6,1.0,600,0,-600,0.0,0.0,0,0.0,0.0,0.6544063273205005,0.6063488705134462,0.6086220654532031,0.6004811098939222,107.64999999999999,107.85,6549.942733732106,0,0.0,2026-02
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top1_by_expected_return,12,12,1.0,1200,0,-1200,0.0,0.0,0,0.0,0.0,0.6581350528728159,0.6025417439580122,0.6258339243747938,0.6003461453158497,112.65833333333332,104.9,7047.600645608869,0,0.0,2026-03
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top1_by_expected_return,5,5,1.0,500,0,-500,0.0,0.0,0,0.0,0.0,0.6743577698858463,0.6278862230292968,0.6161834958160938,0.6006145574581738,111.67999999999999,102.8,6871.126641346802,0,0.0,2026-04
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top1_by_expected_return,7,7,1.0,700,0,-700,0.0,0.0,0,0.0,0.0,0.6844584477152311,0.6197324072967954,0.6249174803805538,0.604088241073348,109.39999999999999,105.2,6844.751150237534,0,0.0,2026-05
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top1_by_expected_return,6,6,1.0,600,0,-600,0.0,0.0,0,0.0,0.0,0.6571947957716303,0.6021515138101267,0.6120256640918642,0.6082091568596658,104.3,100.85,6382.9044591502525,0,0.0,2026-06
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top2_by_expected_return,6,9,1.5,900,10150,9250,11.277777777777779,0.0,1,0.1111111111111111,0.16666666666666666,0.6368844894358335,0.6008296139959429,0.6294063296069566,0.6040576486343956,117.54444444444445,117.0,7410.099258223626,10150,1.0,2026-01
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top2_by_expected_return,6,7,1.1666666666666667,700,0,-700,0.0,0.0,0,0.0,0.0,0.6475409763480642,0.6063488705134462,0.607764657188271,0.6004811098939222,106.55714285714285,106.6,6475.122639768488,0,0.0,2026-02
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top2_by_expected_return,12,13,1.0833333333333333,1300,0,-1300,0.0,0.0,0,0.0,0.0,0.6574795915928205,0.6025417439580122,0.6242842759262108,0.6003461453158497,116.71538461538461,105.3,7276.09964977317,0,0.0,2026-03
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top2_by_expected_return,5,7,1.4,700,0,-700,0.0,0.0,0,0.0,0.0,0.6788592155469813,0.6278862230292968,0.6278539290193397,0.6006145574581738,109.2,102.8,6840.849715303613,0,0.0,2026-04
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top2_by_expected_return,7,7,1.0,700,0,-700,0.0,0.0,0,0.0,0.0,0.6844584477152311,0.6197324072967954,0.6249174803805538,0.604088241073348,109.39999999999999,105.2,6844.751150237534,0,0.0,2026-05
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top2_by_expected_return,6,8,1.3333333333333333,800,0,-800,0.0,0.0,0,0.0,0.0,0.6579007320056736,0.6021515138101267,0.6132169197068686,0.6076030197627857,103.82500000000002,100.85,6366.69079277588,0,0.0,2026-06
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top3_by_expected_return,6,10,1.6666666666666667,1000,10150,9150,10.15,0.0,1,0.1,0.16666666666666666,0.6386826186652794,0.6008296139959429,0.6300895026706728,0.6040576486343956,116.42999999999999,112.6,7346.046628501004,10150,1.0,2026-01
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top3_by_expected_return,6,7,1.1666666666666667,700,0,-700,0.0,0.0,0,0.0,0.0,0.6475409763480642,0.6063488705134462,0.607764657188271,0.6004811098939222,106.55714285714285,106.6,6475.122639768488,0,0.0,2026-02
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top3_by_expected_return,12,14,1.1666666666666667,1400,0,-1400,0.0,0.0,0,0.0,0.0,0.6569177676385387,0.6025417439580122,0.6256662584681775,0.6003461453158497,119.23571428571428,105.55,7455.178737575725,0,0.0,2026-03
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top3_by_expected_return,5,8,1.6,800,0,-800,0.0,0.0,0,0.0,0.0,0.6797451489215882,0.6278862230292968,0.6296141591429801,0.6006145574581738,109.1,103.1,6855.566469252129,0,0.0,2026-04
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top3_by_expected_return,7,7,1.0,700,0,-700,0.0,0.0,0,0.0,0.0,0.6844584477152311,0.6197324072967954,0.6249174803805538,0.604088241073348,109.39999999999999,105.2,6844.751150237534,0,0.0,2026-05
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top3_by_expected_return,6,8,1.3333333333333333,800,0,-800,0.0,0.0,0,0.0,0.0,0.6579007320056736,0.6021515138101267,0.6132169197068686,0.6076030197627857,103.82500000000002,100.85,6366.69079277588,0,0.0,2026-06
