race_date,race_id,tickets,ret,hits,rule,bet,profit,cum_profit
2026-02-05,5320260205010012,2,0.0,0,high_odds_v1_top2,200,-200.0,-200.0
2026-02-06,5320260205020001,2,0.0,0,high_odds_v1_top2,200,-200.0,-400.0
2026-02-06,5320260205020002,2,0.0,0,high_odds_v1_top2,200,-200.0,-600.0
2026-02-06,5320260205020003,2,0.0,0,high_odds_v1_top2,200,-200.0,-800.0
2026-02-06,5320260205020004,2,0.0,0,high_odds_v1_top2,200,-200.0,-1000.0
2026-02-06,5320260205020005,2,0.0,0,high_odds_v1_top2,200,-200.0,-1200.0
2026-02-06,5320260205020006,2,0.0,0,high_odds_v1_top2,200,-200.0,-1400.0
2026-02-06,5320260205020008,2,0.0,0,high_odds_v1_top2,200,-200.0,-1600.0
2026-02-06,5320260205020009,2,0.0,0,high_odds_v1_top2,200,-200.0,-1800.0
2026-02-06,5320260205020010,2,0.0,0,high_odds_v1_top2,200,-200.0,-2000.0
2026-02-06,5320260205020011,2,0.0,0,high_odds_v1_top2,200,-200.0,-2200.0
2026-02-07,5320260205030004,2,0.0,0,high_odds_v1_top2,200,-200.0,-2400.0
2026-02-07,5320260205030005,2,0.0,0,high_odds_v1_top2,200,-200.0,-2600.0
2026-02-07,5320260205030007,2,0.0,0,high_odds_v1_top2,200,-200.0,-2800.0
2026-02-07,5320260205030008,2,0.0,0,high_odds_v1_top2,200,-200.0,-3000.0
2026-02-07,5320260205030010,2,0.0,0,high_odds_v1_top2,200,-200.0,-3200.0
2026-02-07,5320260205030011,2,0.0,0,high_odds_v1_top2,200,-200.0,-3400.0
2026-02-07,5320260205030012,2,0.0,0,high_odds_v1_top2,200,-200.0,-3600.0
2026-02-08,5320260205040004,2,0.0,0,high_odds_v1_top2,200,-200.0,-3800.0
2026-02-08,5320260205040005,2,0.0,0,high_odds_v1_top2,200,-200.0,-4000.0
2026-02-08,5320260205040006,2,0.0,0,high_odds_v1_top2,200,-200.0,-4200.0
